Depth_m,Distance_to_Shore,Turbidity,Windspeed,Cyclone_Frequency,Temperature_Maximum,SSTA_DHW,Percent_Bleaching
10.0,8519.23,0.0287,8.0,49.9,304.69,0.0,50.2
14.0,1431.62,0.0262,2.0,51.2,305.01,0.26,50.7
7.0,182.33,0.0429,8.0,61.52,304.14,0.0,50.9
9.02,313.13,0.0424,3.0,65.39,304.07,0.0,50.9
12.5,792.0,0.0424,3.0,65.39,303.76,0.0,50.9
11.5,4569.6,0.0954,1.0,51.54,305.48,4.28,51.0
27.7,2399.36,0.0372,6.0,65.39,303.86,11.61,51.3
6.0,1004.93,0.0432,7.0,42.61,304.3,14.76,51.38
4.05,3920.39,0.1636,8.0,58.01,305.55,1.53,51.4
6.0,2750.37,0.2197,4.0,43.52,306.14,10.11,51.53
4.82,439.36,0.0372,3.0,65.39,303.86,0.0,51.7
9.8,1176.53,0.0631,6.0,65.39,303.7,12.29,51.7
9.0,8871.56,0.061,8.0,68.53,305.65,5.3,51.8
14.51,435.67,0.0631,3.0,65.39,303.76,0.0,51.8
3.0,148.15,0.0477,4.0,85.57,303.97,13.84,51.8
15.0,1412.4,0.0349,5.0,52.62,304.89,6.59,52.0
12.0,481.51,0.0643,6.0,52.79,304.3,7.59,52.0
6.0,1411.89,0.0445,6.0,47.12,304.77,20.34,52.0
3.75,6212.5,0.1093,3.0,55.99,305.11,1.93,52.0
16.5,107.64,0.0816,7.0,59.79,304.94,1.02,52.0
8.8,2319.1,0.0631,6.0,65.39,303.76,10.41,52.1
14.9,1599.68,0.0273,6.0,49.1,304.62,0.88,52.2
8.3,1415.91,0.0609,7.0,51.35,304.66,3.85,52.2
11.45,1581.23,0.041,4.0,46.93,307.65,0.0,52.4
3.4,893.53,0.041,4.0,46.93,307.65,11.76,52.4
9.8,973.06,0.0286,6.0,49.1,304.62,0.0,52.4
11.3,2275.34,0.0424,6.0,65.39,303.76,10.41,52.4
10.55,1785.54,0.028,7.0,50.37,304.6,3.75,52.6
16.05,537.9,0.0279,4.0,49.1,304.39,5.58,52.6
15.25,1212.26,0.0273,6.0,49.1,304.62,0.88,52.6
7.0,309.43,0.0842,6.0,74.88,304.45,1.16,52.6
18.0,1144.85,0.0335,6.0,57.46,303.6,0.0,52.8
5.35,603.83,0.0273,6.0,49.1,304.6,0.0,52.9
10.35,973.06,0.0286,6.0,49.1,304.62,0.0,52.9
10.4,1260.9,0.0447,6.0,36.82,305.36,4.39,52.9
14.9,1184.38,0.0279,6.0,49.1,304.39,2.65,52.9
10.0,1060.12,0.0459,3.0,47.23,306.23,2.47,53.0
9.4,1136.64,0.0443,6.0,65.39,304.6,16.28,53.0
10.0,36179.5,0.0369,8.0,53.32,304.45,3.64,53.3
8.2,345.0,0.0279,7.0,49.1,304.39,8.95,53.3
20.9,1780.82,0.028,5.0,50.37,304.6,2.12,53.3
9.9,1320.0,0.0609,7.0,51.35,304.67,4.19,53.3
6.0,1608.47,0.07,4.0,48.95,305.68,12.33,53.35
15.0,1577.81,0.0349,5.0,52.62,305.2,8.16,53.6
7.6,1259.2,0.041,4.0,46.93,307.65,0.0,53.8
8.05,1216.25,0.0366,5.0,50.54,308.14,0.0,53.8
14.15,1785.54,0.028,4.0,50.37,304.6,0.56,53.8
5.35,1018.88,0.0273,4.0,49.1,304.62,4.6,53.8
17.7,1118.47,0.028,5.0,50.37,304.6,2.12,53.8
16.1,806.3,0.0286,4.0,49.1,304.62,4.6,53.8
10.0,36.61,0.0452,4.0,46.39,303.85,12.06,53.8
10.61,1003.57,0.0396,3.0,65.39,304.05,0.0,53.9
16.0,12674.54,0.0632,6.0,67.23,304.57,5.72,53.9
11.0,11404.29,0.0297,9.0,47.39,304.89,3.23,54.0
6.0,928.31,0.0267,5.0,57.25,305.11,5.83,54.0
12.0,3000.09,0.0667,6.0,52.79,304.23,6.24,54.2
6.0,1004.93,0.0432,7.0,42.61,304.3,11.33,54.3
9.6,9724.38,0.0999,3.0,57.13,305.52,1.22,54.3
18.3,671.32,0.0406,4.0,36.82,304.98,7.61,54.5
7.3,1536.05,0.0396,6.0,65.39,304.05,9.31,54.6
8.5,6923.2,0.0251,3.0,54.15,304.6,5.14,55.0
5.0,275.04,0.1919,5.0,43.39,305.69,9.01,55.0
13.5,418.56,0.036,9.0,44.29,303.71,0.0,55.0
11.0,11404.29,0.0297,9.0,47.39,304.89,3.23,55.0
12.0,1279.31,0.0596,7.0,61.77,304.07,0.0,55.0
6.0,301.9,0.0849,4.0,47.39,305.44,0.0,55.0
6.0,194.45,0.0442,4.0,47.39,305.45,2.92,55.0
6.0,51.85,0.0849,4.0,47.39,305.47,1.79,55.0
3.5,1035.1,0.0458,4.0,44.66,303.48,3.18,55.0
14.3,912.32,0.0273,6.0,49.1,304.6,0.0,55.0
5.5,9427.08,0.0287,4.0,53.08,304.23,1.06,55.0
5.85,5138.98,0.1491,3.0,58.01,305.07,1.38,55.0
