Latitude,Longitude,SST (°C),pH Level,Bleaching Severity
20.0248,38.4931,29.47,8.107,0
-18.2988,147.7782,29.65,8.004,2
14.9768,-75.0233,28.86,7.947,2
-18.3152,147.6486,28.97,7.995,1
-0.8805,-90.9769,28.6,7.977,0
20.0055,38.4425,29.06,8.009,0
9.9699,115.0926,28.48,7.998,0
19.939,38.5104,25.56,8.042,0
3.2397,73.2293,28.33,8.038,0
14.964,-75.023,30.09,8.035,2
-0.9376,-90.9849,27.48,8.101,0
15.0466,-75.042,28.04,8.076,2
-0.9778,-90.9749,26.84,8.023,0
10.0678,114.9964,30.01,8.038,2
20.0181,38.5769,28.45,8.129,2
10.0411,115.0044,28.05,8.064,1
14.989,-74.9821,30.72,7.98,2
14.9749,-74.9542,28.99,8.014,0
15.0049,-74.9516,27.45,8.055,0
3.1296,73.2355,28.89,8.042,0
-18.3579,147.6782,27.99,8.02,0
19.917,-155.4885,28.76,8.058,0
-18.383,147.6979,28.59,8.171,1
-18.272,147.6975,26.75,8.142,1
20.0396,38.4545,30.6,7.938,0
20.1095,38.4505,27.65,8.072,0
19.8193,-155.5794,26.91,8.106,0
-0.8763,-91.0048,28.02,8.1,2
-0.9424,-90.9002,26.09,8.107,0
3.2419,73.1589,26.52,8.116,2
20.0125,38.5173,27.48,8.082,1
-18.3228,147.7925,29.21,7.976,2
3.1541,73.2601,30.24,7.974,0
20.0206,38.5411,31.35,7.981,1
9.9555,114.9592,28.38,8.069,0
19.9382,-155.5821,30.68,7.993,0
15.0313,-75.0429,26.89,8.106,1
15.0357,-74.9763,28.39,8.01,0
-18.3094,147.742,28.82,7.981,1
10.0193,114.9558,28.73,8.048,1
-0.9359,-90.9376,30.12,8.07,0
9.9531,115.0258,29.27,8.06,1
20.0285,38.5568,29.93,8.054,0
20.0379,38.4614,28.14,8.033,2
3.3185,73.1273,29.53,7.949,0
-0.8994,-90.9624,26.88,8.047,0
-18.3236,147.71,28.57,8.016,0
-18.2554,147.5979,28.78,8.011,0
-0.9934,-90.9713,29.26,8.078,1
19.8801,-155.6065,27.52,8.158,0
9.937,115.0459,31.68,8.038,1
19.9758,38.5633,27.44,8.093,1
19.8505,-155.5858,23.64,8.096,2
-1.0162,-90.884,26.35,8.071,0
-18.215,147.6274,30.24,8.016,0
10.0231,115.01,27.6,8.071,0
-0.9481,-90.9325,30.88,7.941,0
3.1052,73.2131,29.38,8.046,0
19.8864,-155.6075,27.62,8.11,1
19.9654,38.545,28.96,8.081,2
-0.9952,-90.9936,29.62,8.058,0
19.9027,-155.5189,27.61,8.095,1
9.9891,115.0549,29.74,8.066,1
-18.286,147.7333,28.03,8.076,0
10.0048,115.0298,27.27,8.179,0
9.9393,115.0579,29.69,8.057,0
19.9994,38.4551,28.61,8.014,1
19.9926,38.4587,28.02,8.08,0
-18.3282,147.7114,28.87,8.017,0
3.2144,73.1483,26.39,8.056,1
-0.9383,-90.8918,29.79,8.016,1
-18.3372,147.6983,28.07,8.075,1
19.9228,-155.5062,28.34,8.073,1
-0.9739,-90.9544,28.52,8.055,1
3.204,73.2456,30.68,8.054,2
-18.3255,147.7428,28.78,8.154,0
-0.9958,-90.9956,25.31,8.087,0
15.0075,-74.9829,31.31,8.041,0
9.9551,115.0246,26.52,8.181,0
14.9765,-75.0857,30.53,8.004,1
-1.0335,-90.9956,28.51,8.052,0
